Title,Section,Description 
Stabilization Endurance Cycle 1 Day 1,Warmup,1 Founder Flow 10 repetition Anchored Back Extension 3-5 breath Adductor Assisted Back Extension Hold 1 Kneeling Founder Flow 1 Lunge Decompression per side 3 breaths per position Couch Stretch x 10 reps + 30 second hold Wall Chest Stretch x 10 reps + 30 sec hold. Bird-Dog 2 sets x 12 repetitions (4121 tempo) with max reps on ﬁnal set. ,
Stabilization Endurance Cycle 1 Day 1,Deadbug,2 sets x 12 repetitions (4121 tempo) with max reps on ﬁnal set. ,
Stabilization Endurance Cycle 1 Day 1,Front Squat,2 sets x 12 repetitions (4121 tempo) with max reps on ﬁnal set. Build up to the heaviest weight you can complete 12 repetitions with. If you're working with %'s go for 12 @ 60% 12+ @ 70% of your training max. Perform the next set as quickly as possible 0-90 seconds rest. ,
Stabilization Endurance Cycle 1 Day 1,Barbell Strict Press,2 sets x 20 repetitions (4121 tempo) with max reps on ﬁnal set. Perform these sets at the heaviest weight that you can complete all 60+ reps with. If you're working with %'s go for ~ 50% of your training max. Perform the next set as quickly as possible 0-90 seconds rest. Step-Back Lunge with Rotation 2 x 10 repetitions per side (4121 tempo) with max reps on your ﬁnal set. Too easy grab a dumbbell. ,
Stabilization Endurance Cycle 1 Day 1,Power Jerk,2 x 10 repetitions (4121 tempo) with max reps on your ﬁnal set. Perform at the heaviest weight possible. ,
Stabilization Endurance Cycle 1 Day 1,Farmers Walk,2 x 20 yards @ max weight. Perform the next set as quickly as possible 0-90 seconds rest. Wrap-Up Perform as quickly as possible with the best technique possible. Do not sacriﬁce technique for speed. 20-15-10-5 ,
Stabilization Endurance Cycle 1 Day 1,Goblet Squat,A-Skips Push-Up B-Skips. ,
Stabilization Endurance Cycle 1 Day 1,Cooldown,Breathwork Cool-Down ,
Stabilization Endurance Cycle 1 Day 1,Zombie Belly Breath,,
Stabilization Endurance Cycle 1 Day 1,Child's Pose,,
Stabilization Endurance Cycle 1 Day 1,Puppy Pose,Figure 4 ,
Stabilization Endurance Cycle 1 Day 1,Iron Cross,,
Stabilization Endurance Cycle 1 Day 1,Corpse,,
